bbox,filename,height,width
"[0.0, 259.65, 55.23, 166.35000000000002]",/home/tako/devtools/furry-geras/coco/train2017/000000402967.jpg,427,640
"[140.09, 0.0, 152.53, 254.24]",/home/tako/devtools/furry-geras/coco/train2017/000000278439.jpg,427,640
"[596.2, 251.84, 38.58000000000004, 115.84]",/home/tako/devtools/furry-geras/coco/train2017/000000318382.jpg,468,640
"[313.56, 0.0, 185.44, 201.99]",/home/tako/devtools/furry-geras/coco/train2017/000000274529.jpg,375,500
"[1.44, 102.11, 387.31, 414.64]",/home/tako/devtools/furry-geras/coco/train2017/000000048679.jpg,640,480
"[485.95, 5.76, 99.07999999999998, 88.3]",/home/tako/devtools/furry-geras/coco/train2017/000000315374.jpg,350,640
"[63.28, 51.78, 275.14, 585.78]",/home/tako/devtools/furry-geras/coco/train2017/000000280307.jpg,640,427
"[245.68, 55.22, 205.24, 236.79999999999998]",/home/tako/devtools/furry-geras/coco/train2017/000000361375.jpg,426,640
"[176.9, 92.14, 243.48999999999998, 454.9100000000001]",/home/tako/devtools/furry-geras/coco/train2017/000000332812.jpg,640,514
"[228.59, 155.61, 111.67999999999998, 265.65]",/home/tako/devtools/furry-geras/coco/train2017/000000032918.jpg,640,640
"[42.41, 47.95, 234.19000000000003, 235.15000000000003]",/home/tako/devtools/furry-geras/coco/train2017/000000531715.jpg,427,640
"[12.36, 200.78, 355.18, 291.14]",/home/tako/devtools/furry-geras/coco/train2017/000000134211.jpg,500,375
"[154.18, 71.87, 273.39, 279.15]",/home/tako/devtools/furry-geras/coco/train2017/000000334327.jpg,427,640
"[207.1, 345.17, 222.28, 132.75]",/home/tako/devtools/furry-geras/coco/train2017/000000414258.jpg,480,640
"[129.21, 255.84, 240.58, 234.94999999999996]",/home/tako/devtools/furry-geras/coco/train2017/000000510636.jpg,500,375
"[247.91, 105.4, 103.12999999999997, 74.43]",/home/tako/devtools/furry-geras/coco/train2017/000000165157.jpg,349,640
"[264.13, 107.0, 296.86, 172.51]",/home/tako/devtools/furry-geras/coco/train2017/000000360818.jpg,428,640
"[388.84, 119.3, 250.16000000000003, 348.1]",/home/tako/devtools/furry-geras/coco/train2017/000000080927.jpg,478,640
"[286.26, 65.21, 151.23000000000002, 285.27]",/home/tako/devtools/furry-geras/coco/train2017/000000501026.jpg,427,640
"[7.28, 0.0, 477.04, 423.1]",/home/tako/devtools/furry-geras/coco/train2017/000000522637.jpg,426,640
"[186.15, 72.03, 245.60999999999999, 347.32000000000005]",/home/tako/devtools/furry-geras/coco/train2017/000000048398.jpg,427,640
"[42.56, 0.0, 596.44, 100.25]",/home/tako/devtools/furry-geras/coco/train2017/000000320872.jpg,383,640
"[241.64, 115.45, 73.65999999999997, 156.16000000000003]",/home/tako/devtools/furry-geras/coco/train2017/000000527440.jpg,480,640
"[578.16, 34.52, 60.48000000000002, 105.95999999999998]",/home/tako/devtools/furry-geras/coco/train2017/000000208714.jpg,480,640
"[518.31, 255.14, 82.38, 183.82]",/home/tako/devtools/furry-geras/coco/train2017/000000543608.jpg,448,640
"[70.11, 83.13, 568.89, 386.23]",/home/tako/devtools/furry-geras/coco/train2017/000000285180.jpg,480,640
"[38.47, 228.02, 248.54999999999998, 348.58000000000004]",/home/tako/devtools/furry-geras/coco/train2017/000000001330.jpg,640,480
"[1.81, 52.95, 344.17, 341.46]",/home/tako/devtools/furry-geras/coco/train2017/000000215396.jpg,403,640
"[173.59, 199.22, 240.92999999999998, 214.1]",/home/tako/devtools/furry-geras/coco/train2017/000000011238.jpg,640,426
"[37.23, 3.0, 369.82, 627.55]",/home/tako/devtools/furry-geras/coco/train2017/000000572326.jpg,640,480
"[138.2, 0.84, 288.89, 373.16]",/home/tako/devtools/furry-geras/coco/train2017/000000005569.jpg,375,500
"[92.21, 62.34, 158.74, 424.97]",/home/tako/devtools/furry-geras/coco/train2017/000000492376.jpg,500,333
"[334.25, 62.92, 304.75, 373.16]",/home/tako/devtools/furry-geras/coco/train2017/000000303873.jpg,444,640
"[356.12, 138.81, 200.99, 255.56]",/home/tako/devtools/furry-geras/coco/train2017/000000416843.jpg,426,640
"[74.79, 123.69, 252.12, 508.11999999999995]",/home/tako/devtools/furry-geras/coco/train2017/000000570477.jpg,640,425
"[0.0, 14.52, 449.58, 468.23]",/home/tako/devtools/furry-geras/coco/train2017/000000195880.jpg,640,509
"[271.82, 24.45, 184.53000000000003, 288.08]",/home/tako/devtools/furry-geras/coco/train2017/000000372678.jpg,640,480
"[22.43, 278.77, 142.99, 147.23000000000002]",/home/tako/devtools/furry-geras/coco/train2017/000000333355.jpg,427,640
"[69.19, 48.29, 208.01, 526.57]",/home/tako/devtools/furry-geras/coco/train2017/000000151576.jpg,640,480
"[319.53, 85.11, 98.79000000000002, 165.95999999999998]",/home/tako/devtools/furry-geras/coco/train2017/000000171524.jpg,427,640
"[113.48, 51.34, 259.68, 281.02]",/home/tako/devtools/furry-geras/coco/train2017/000000501015.jpg,500,375
"[139.28, 0.0, 141.80000000000004, 101.27]",/home/tako/devtools/furry-geras/coco/train2017/000000098599.jpg,640,428
"[181.06, 137.3, 89.43, 120.68]",/home/tako/devtools/furry-geras/coco/train2017/000000499177.jpg,427,640
"[109.55, 33.15, 232.51, 589.99]",/home/tako/devtools/furry-geras/coco/train2017/000000099607.jpg,640,427
"[0.0, 0.78, 329.34, 490.01]",/home/tako/devtools/furry-geras/coco/train2017/000000531264.jpg,500,334
"[372.47, 43.93, 143.22000000000003, 122.19999999999999]",/home/tako/devtools/furry-geras/coco/train2017/000000431085.jpg,425,640
"[122.8, 103.66, 220.03999999999996, 222.92]",/home/tako/devtools/furry-geras/coco/train2017/000000317939.jpg,640,427
"[202.38, 111.33, 87.98000000000002, 70.74999999999999]",/home/tako/devtools/furry-geras/coco/train2017/000000053474.jpg,335,500
"[46.74, 29.79, 288.44, 609.21]",/home/tako/devtools/furry-geras/coco/train2017/000000184181.jpg,640,427
"[196.82, 32.0, 235.72999999999996, 396.76]",/home/tako/devtools/furry-geras/coco/train2017/000000388980.jpg,640,517
"[23.56, 22.9, 399.79, 615.57]",/home/tako/devtools/furry-geras/coco/train2017/000000249336.jpg,640,457
"[259.47, 54.91, 128.41999999999996, 106.34]",/home/tako/devtools/furry-geras/coco/train2017/000000260686.jpg,481,640
"[496.37, 312.07, 121.00999999999999, 112.82]",/home/tako/devtools/furry-geras/coco/train2017/000000413841.jpg,469,640
"[174.53, 14.17, 233.67, 369.19]",/home/tako/devtools/furry-geras/coco/train2017/000000048489.jpg,406,610
"[120.81, 281.8, 124.79000000000002, 297.57]",/home/tako/devtools/furry-geras/coco/train2017/000000370250.jpg,640,427
"[187.26, 0.9, 187.88, 241.15]",/home/tako/devtools/furry-geras/coco/train2017/000000152060.jpg,360,640
"[0.0, 197.72, 200.88, 432.8299999999999]",/home/tako/devtools/furry-geras/coco/train2017/000000053644.jpg,640,425
"[178.45, 102.5, 126.07, 214.14999999999998]",/home/tako/devtools/furry-geras/coco/train2017/000000193669.jpg,427,640
"[6.73, 0.96, 198.08, 146.14]",/home/tako/devtools/furry-geras/coco/train2017/000000408906.jpg,427,640
"[277.33, 146.48, 105.17000000000002, 239.50000000000003]",/home/tako/devtools/furry-geras/coco/train2017/000000210000.jpg,481,640
"[0.0, 1.01, 266.14, 234.63]",/home/tako/devtools/furry-geras/coco/train2017/000000447520.jpg,281,500
"[103.55, 0.0, 455.2699999999999, 479.0]",/home/tako/devtools/furry-geras/coco/train2017/000000210437.jpg,480,640
"[205.63, 188.66, 54.60000000000002, 174.99999999999997]",/home/tako/devtools/furry-geras/coco/train2017/000000204889.jpg,426,640
"[27.66, 295.04, 90.06, 126.38999999999999]",/home/tako/devtools/furry-geras/coco/train2017/000000123214.jpg,427,640
"[217.66, 301.22, 81.04999999999998, 221.58000000000004]",/home/tako/devtools/furry-geras/coco/train2017/000000541169.jpg,640,480
"[50.18, 26.65, 396.13, 400.98]",/home/tako/devtools/furry-geras/coco/train2017/000000400379.jpg,500,500
"[0.0, 2.0, 627.56, 417.41]",/home/tako/devtools/furry-geras/coco/train2017/000000450974.jpg,427,640
"[282.39, 33.53, 124.38, 432.93000000000006]",/home/tako/devtools/furry-geras/coco/train2017/000000083519.jpg,483,640
"[13.05, 59.46, 273.82, 579.54]",/home/tako/devtools/furry-geras/coco/train2017/000000155231.jpg,640,514
"[80.41, 141.68, 208.65, 273.75]",/home/tako/devtools/furry-geras/coco/train2017/000000201111.jpg,426,640
"[251.33, 103.82, 95.00000000000003, 148.93]",/home/tako/devtools/furry-geras/coco/train2017/000000012238.jpg,480,640
"[152.49, 213.05, 131.83000000000004, 297.95]",/home/tako/devtools/furry-geras/coco/train2017/000000184405.jpg,512,640
"[79.09, 126.41, 345.90999999999997, 512.16]",/home/tako/devtools/furry-geras/coco/train2017/000000149604.jpg,640,426
"[105.77, 131.5, 102.86999999999999, 189.59000000000003]",/home/tako/devtools/furry-geras/coco/train2017/000000525567.jpg,425,640
"[395.11, 164.89, 69.56, 184.52999999999997]",/home/tako/devtools/furry-geras/coco/train2017/000000145288.jpg,504,640
"[53.01, 116.62, 305.49, 302.6]",/home/tako/devtools/furry-geras/coco/train2017/000000051946.jpg,426,640
"[56.47, 124.9, 302.4, 298.1]",/home/tako/devtools/furry-geras/coco/train2017/000000293529.jpg,424,640
"[257.53, 97.43, 119.67000000000002, 246.06]",/home/tako/devtools/furry-geras/coco/train2017/000000148843.jpg,425,640
"[338.65, 98.14, 84.17000000000002, 140.21000000000004]",/home/tako/devtools/furry-geras/coco/train2017/000000570085.jpg,436,640
"[419.5, 111.42, 87.59000000000003, 179.89999999999998]",/home/tako/devtools/furry-geras/coco/train2017/000000546211.jpg,480,640
"[41.57, 112.36, 332.43, 379.9]",/home/tako/devtools/furry-geras/coco/train2017/000000167271.jpg,500,375
"[159.64, 0.96, 339.45, 425.04]",/home/tako/devtools/furry-geras/coco/train2017/000000194850.jpg,427,640
"[0.0, 9.62, 424.0, 575.65]",/home/tako/devtools/furry-geras/coco/train2017/000000151664.jpg,640,425
"[229.75, 30.95, 164.03999999999996, 322.6]",/home/tako/devtools/furry-geras/coco/train2017/000000450173.jpg,480,640
"[113.62, 117.93, 365.38, 513.8799999999999]",/home/tako/devtools/furry-geras/coco/train2017/000000502271.jpg,640,480
"[12.44, 10.82, 425.63, 483.11]",/home/tako/devtools/furry-geras/coco/train2017/000000154927.jpg,497,500
"[76.22, 60.4, 68.03999999999999, 230.55999999999997]",/home/tako/devtools/furry-geras/coco/train2017/000000372097.jpg,320,240
"[271.35, 0.1, 244.64999999999998, 61.7]",/home/tako/devtools/furry-geras/coco/train2017/000000310193.jpg,480,640
"[233.98, 408.7, 230.43999999999997, 119.30000000000001]",/home/tako/devtools/furry-geras/coco/train2017/000000187949.jpg,529,640
"[371.06, 47.46, 107.94, 322.6]",/home/tako/devtools/furry-geras/coco/train2017/000000069729.jpg,640,480
"[242.35, 113.48, 82.66999999999999, 118.25000000000001]",/home/tako/devtools/furry-geras/coco/train2017/000000484244.jpg,427,640
"[186.15, 153.53, 246.57000000000002, 161.16]",/home/tako/devtools/furry-geras/coco/train2017/000000561437.jpg,427,640
"[0.96, 1.91, 242.53, 71.58]",/home/tako/devtools/furry-geras/coco/train2017/000000391765.jpg,425,640
"[242.77, 80.6, 227.36999999999998, 236.97]",/home/tako/devtools/furry-geras/coco/train2017/000000262991.jpg,427,640
"[249.83, 18.0, 104.73999999999998, 187.18]",/home/tako/devtools/furry-geras/coco/train2017/000000485413.jpg,400,600
"[28.02, 171.59, 106.91000000000001, 253.76000000000002]",/home/tako/devtools/furry-geras/coco/train2017/000000061621.jpg,468,640
"[179.11, 152.06, 39.420000000000016, 123.81]",/home/tako/devtools/furry-geras/coco/train2017/000000130024.jpg,338,500
"[208.07, 108.58, 149.67000000000002, 353.44]",/home/tako/devtools/furry-geras/coco/train2017/000000512531.jpg,640,566
"[165.55, 0.0, 218.15000000000003, 444.44]",/home/tako/devtools/furry-geras/coco/train2017/000000427178.jpg,530,640
"[0.96, 3.84, 394.33, 416.4]",/home/tako/devtools/furry-geras/coco/train2017/000000368852.jpg,427,640
"[136.99, 10.79, 188.84000000000003, 233.06]",/home/tako/devtools/furry-geras/coco/train2017/000000516261.jpg,480,640
"[73.35, 11.87, 227.67, 461.74]",/home/tako/devtools/furry-geras/coco/train2017/000000299207.jpg,480,640
"[1.92, 0.0, 637.08, 421.23]",/home/tako/devtools/furry-geras/coco/train2017/000000448616.jpg,428,640
"[176.61, 176.88, 61.849999999999994, 213.53999999999996]",/home/tako/devtools/furry-geras/coco/train2017/000000558457.jpg,480,640
"[160.36, 21.61, 259.58, 417.08]",/home/tako/devtools/furry-geras/coco/train2017/000000157503.jpg,640,480
"[326.7, 58.91, 164.26, 150.88]",/home/tako/devtools/furry-geras/coco/train2017/000000063394.jpg,427,640
"[197.67, 150.49, 83.44000000000003, 246.56]",/home/tako/devtools/furry-geras/coco/train2017/000000206754.jpg,427,640
"[123.57, 28.64, 70.75, 104.62999999999998]",/home/tako/devtools/furry-geras/coco/train2017/000000151299.jpg,375,500
"[74.84, 0.96, 459.5899999999999, 372.26]",/home/tako/devtools/furry-geras/coco/train2017/000000382855.jpg,427,640
"[536.85, 304.18, 46.51999999999998, 112.67000000000002]",/home/tako/devtools/furry-geras/coco/train2017/000000460045.jpg,427,640
"[1.17, 2.35, 635.75, 514.72]",/home/tako/devtools/furry-geras/coco/train2017/000000545550.jpg,523,640
"[457.22, 395.19, 21.779999999999973, 173.82999999999998]",/home/tako/devtools/furry-geras/coco/train2017/000000366994.jpg,640,480
"[151.44, 171.83, 367.8999999999999, 251.4]",/home/tako/devtools/furry-geras/coco/train2017/000000167783.jpg,432,640
"[60.22, 46.82, 337.94999999999993, 327.18]",/home/tako/devtools/furry-geras/coco/train2017/000000290522.jpg,375,500
"[265.69, 0.0, 294.21, 80.18]",/home/tako/devtools/furry-geras/coco/train2017/000000471515.jpg,427,640
"[341.78, 192.19, 52.89999999999998, 155.07]",/home/tako/devtools/furry-geras/coco/train2017/000000191190.jpg,480,640
"[132.78, 86.31, 177.13999999999996, 142.84]",/home/tako/devtools/furry-geras/coco/train2017/000000249537.jpg,426,640
"[16.5, 8.25, 514.73, 561.49]",/home/tako/devtools/furry-geras/coco/train2017/000000047935.jpg,612,612
"[0.0, 101.4, 306.53, 537.6]",/home/tako/devtools/furry-geras/coco/train2017/000000310725.jpg,640,480
"[1.44, 3.6, 449.56, 627.47]",/home/tako/devtools/furry-geras/coco/train2017/000000275717.jpg,640,452
"[139.82, 21.62, 283.18, 617.38]",/home/tako/devtools/furry-geras/coco/train2017/000000072866.jpg,640,424
"[469.33, 0.0, 169.67000000000002, 201.62]",/home/tako/devtools/furry-geras/coco/train2017/000000071838.jpg,480,640
"[1.35, 117.3, 558.55, 453.38999999999993]",/home/tako/devtools/furry-geras/coco/train2017/000000198721.jpg,600,631
"[480.35, 307.56, 41.629999999999995, 108.44]",/home/tako/devtools/furry-geras/coco/train2017/000000362793.jpg,508,640
"[252.7, 82.38, 167.96999999999997, 197.88]",/home/tako/devtools/furry-geras/coco/train2017/000000547830.jpg,427,640
"[42.97, 32.22, 370.65, 439.40999999999997]",/home/tako/devtools/furry-geras/coco/train2017/000000462955.jpg,478,640
"[365.59, 122.82, 164.04000000000002, 234.08999999999997]",/home/tako/devtools/furry-geras/coco/train2017/000000096670.jpg,427,640
"[135.76, 245.25, 212.33000000000004, 168.7]",/home/tako/devtools/furry-geras/coco/train2017/000000029045.jpg,480,640
"[505.83, 2.28, 132.45, 144.29]",/home/tako/devtools/furry-geras/coco/train2017/000000054260.jpg,480,640
"[119.6, 301.44, 305.4, 337.56]",/home/tako/devtools/furry-geras/coco/train2017/000000058225.jpg,640,513
"[183.3, 121.11, 173.34999999999997, 130.76]",/home/tako/devtools/furry-geras/coco/train2017/000000249128.jpg,640,480
"[232.23, 24.4, 141.91, 290.52]",/home/tako/devtools/furry-geras/coco/train2017/000000070804.jpg,411,640
"[106.19, 97.75, 110.93, 340.52]",/home/tako/devtools/furry-geras/coco/train2017/000000499763.jpg,640,427
"[109.88, 6.51, 372.03, 414.43]",/home/tako/devtools/furry-geras/coco/train2017/000000404507.jpg,427,640
"[295.68, 96.96, 81.56, 205.40000000000003]",/home/tako/devtools/furry-geras/coco/train2017/000000258869.jpg,408,640
"[168.27, 73.35, 157.20000000000002, 548.39]",/home/tako/devtools/furry-geras/coco/train2017/000000500179.jpg,640,427
"[144.45, 21.21, 237.45, 371.58]",/home/tako/devtools/furry-geras/coco/train2017/000000142793.jpg,509,640
"[106.68, 220.51, 145.83, 203.52999999999997]",/home/tako/devtools/furry-geras/coco/train2017/000000578332.jpg,500,476
"[255.24, 273.46, 110.15999999999997, 174.99]",/home/tako/devtools/furry-geras/coco/train2017/000000189794.jpg,458,640
"[132.87, 11.66, 257.75, 500.17]",/home/tako/devtools/furry-geras/coco/train2017/000000524638.jpg,514,640
"[200.63, 0.0, 438.01, 425.07]",/home/tako/devtools/furry-geras/coco/train2017/000000433618.jpg,480,640
"[168.97, 20.02, 124.91999999999999, 449.94]",/home/tako/devtools/furry-geras/coco/train2017/000000558671.jpg,480,640
"[329.33, 118.33, 123.83999999999997, 303.58]",/home/tako/devtools/furry-geras/coco/train2017/000000518383.jpg,480,640
"[145.64, 338.45, 67.86000000000001, 157.38]",/home/tako/devtools/furry-geras/coco/train2017/000000383564.jpg,640,512
"[124.07, 126.96, 142.31, 251.95]",/home/tako/devtools/furry-geras/coco/train2017/000000131804.jpg,428,640
"[345.81, 81.43, 73.13999999999999, 123.11000000000001]",/home/tako/devtools/furry-geras/coco/train2017/000000008896.jpg,427,640
"[185.95, 115.32, 160.44, 331.97]",/home/tako/devtools/furry-geras/coco/train2017/000000517246.jpg,640,480
"[66.46, 97.88, 313.94, 510.41999999999996]",/home/tako/devtools/furry-geras/coco/train2017/000000562075.jpg,640,427
"[1.12, 5.62, 285.52, 428.21]",/home/tako/devtools/furry-geras/coco/train2017/000000310796.jpg,500,335
"[247.87, 98.11, 80.75999999999999, 151.19]",/home/tako/devtools/furry-geras/coco/train2017/000000387655.jpg,406,640
"[194.59, 47.57, 291.98, 426.02]",/home/tako/devtools/furry-geras/coco/train2017/000000421564.jpg,480,640
"[324.22, 183.94, 41.29000000000002, 193.55]",/home/tako/devtools/furry-geras/coco/train2017/000000480594.jpg,640,480
"[352.7, 5.35, 77.63999999999999, 152.17]",/home/tako/devtools/furry-geras/coco/train2017/000000070727.jpg,176,500
"[8.61, 5.67, 416.58, 624.65]",/home/tako/devtools/furry-geras/coco/train2017/000000352585.jpg,640,427
"[476.8, 169.9, 95.07, 200.4]",/home/tako/devtools/furry-geras/coco/train2017/000000096702.jpg,480,640
"[268.22, 210.37, 86.31, 209.37]",/home/tako/devtools/furry-geras/coco/train2017/000000248033.jpg,426,640
"[334.89, 138.97, 58.31, 106.34]",/home/tako/devtools/furry-geras/coco/train2017/000000057217.jpg,427,640
"[245.27, 346.14, 90.68000000000004, 195.65999999999997]",/home/tako/devtools/furry-geras/coco/train2017/000000013202.jpg,640,427
"[175.6, 107.47, 202.42, 311.80999999999995]",/home/tako/devtools/furry-geras/coco/train2017/000000381334.jpg,427,640
"[206.73, 51.31, 210.27, 278.92]",/home/tako/devtools/furry-geras/coco/train2017/000000190595.jpg,335,500
"[320.36, 66.7, 126.27999999999997, 310.73]",/home/tako/devtools/furry-geras/coco/train2017/000000228098.jpg,480,640
"[206.93, 85.86, 113.90000000000003, 138.86]",/home/tako/devtools/furry-geras/coco/train2017/000000257669.jpg,375,500
"[124.24, 194.67, 149.25, 367.4]",/home/tako/devtools/furry-geras/coco/train2017/000000332006.jpg,640,426
"[111.24, 3.37, 308.27, 363.89]",/home/tako/devtools/furry-geras/coco/train2017/000000224155.jpg,375,500
"[4.3, 1.6, 304.66, 627.52]",/home/tako/devtools/furry-geras/coco/train2017/000000410960.jpg,640,480
"[21.61, 52.82, 556.01, 479.18]",/home/tako/devtools/furry-geras/coco/train2017/000000263957.jpg,533,640
"[385.08, 81.65, 127.36000000000007, 172.66]",/home/tako/devtools/furry-geras/coco/train2017/000000324713.jpg,480,640
"[21.91, 23.41, 572.66, 574.03]",/home/tako/devtools/furry-geras/coco/train2017/000000305358.jpg,612,612
"[232.53, 24.36, 296.05000000000007, 332.61]",/home/tako/devtools/furry-geras/coco/train2017/000000055514.jpg,428,640
"[1.44, 438.65, 139.94, 190.27999999999997]",/home/tako/devtools/furry-geras/coco/train2017/000000308119.jpg,640,480
"[248.92, 101.45, 107.02000000000001, 154.93]",/home/tako/devtools/furry-geras/coco/train2017/000000060055.jpg,418,640
"[0.0, 15.73, 282.15, 428.21]",/home/tako/devtools/furry-geras/coco/train2017/000000204219.jpg,500,334
"[113.62, 168.29, 152.95, 282.13]",/home/tako/devtools/furry-geras/coco/train2017/000000224949.jpg,500,335
"[154.75, 27.49, 236.90999999999997, 326.76]",/home/tako/devtools/furry-geras/coco/train2017/000000251937.jpg,427,640
"[1.96, 0.37, 451.18, 81.58]",/home/tako/devtools/furry-geras/coco/train2017/000000437199.jpg,480,640
"[38.66, 6.55, 599.27, 472.45]",/home/tako/devtools/furry-geras/coco/train2017/000000206417.jpg,480,640
"[169.38, 7.1, 146.76, 327.26]",/home/tako/devtools/furry-geras/coco/train2017/000000509547.jpg,375,500
"[175.44, 36.7, 140.61, 302.39]",/home/tako/devtools/furry-geras/coco/train2017/000000054905.jpg,375,500
"[103.19, 56.13, 277.04, 275.02]",/home/tako/devtools/furry-geras/coco/train2017/000000370229.jpg,333,500
"[151.18, 195.59, 195.89, 108.96000000000001]",/home/tako/devtools/furry-geras/coco/train2017/000000453311.jpg,427,640
"[189.28, 22.14, 169.15, 380.53]",/home/tako/devtools/furry-geras/coco/train2017/000000371047.jpg,640,429
"[99.87, 3.14, 204.06, 234.56]",/home/tako/devtools/furry-geras/coco/train2017/000000268400.jpg,340,500
"[65.36, 25.7, 326.68, 348.3]",/home/tako/devtools/furry-geras/coco/train2017/000000337207.jpg,375,500
"[2.53, 84.97, 368.1, 235.79999999999998]",/home/tako/devtools/furry-geras/coco/train2017/000000280968.jpg,375,500
"[95.55, 60.02, 240.84999999999997, 365.98]",/home/tako/devtools/furry-geras/coco/train2017/000000245660.jpg,427,640
"[56.76, 50.08, 307.46, 380.0]",/home/tako/devtools/furry-geras/coco/train2017/000000008176.jpg,472,380
"[294.46, 105.27, 105.18, 216.8]",/home/tako/devtools/furry-geras/coco/train2017/000000490735.jpg,375,500
"[240.92, 61.6, 234.58, 290.11]",/home/tako/devtools/furry-geras/coco/train2017/000000097580.jpg,427,640
